station,poll
STA-AD0942A,0.261408683
STA-AL0203A,1.511550503
STA-AL0204A,0.618885637
STA-AL0205A,0.663031793
STA-AL0206A,1.165497286
STA-AL0207A,0.82007186
STA.01.0001,0.264921781
STA.02.KA21,0.315033224
STA.03.1401,0.253785151
STA.03.1402,0.252428277
STA.03.2302,0.322635926
STA.04.S173,0.329083154
STA.04.S217,0.212423507
STA.04.S406,0.261508353
STA.04.S416,0.301634251
STA.04.S431,0.331676814
STA.05.1000,0.332876751
STA.05.1066,0.247759857
STA.05.2000,0.326142407
STA.06.142,0.545393381
STA.06.164,0.391722092
STA.06.170,0.379158355
STA.06.172,0.31598525
STA.07.2110,0.320513761
STA.07.2910,0.427416694
STA.08.1919,0.324941956
STA.09.A23,0.262780688
STA.09.MBA,0.315906593
STA.09.TAB,0.301511451
STA.10.ILL1,0.228828507
STA.10.SON1,0.138670748
STA.10.VOR1,0.177350249
STA-BA0029A,0.453570248
STA-BA0031A,0.899859965
STA-BA0037A,0.78329499
STA-BA0041A,0.424611129
STA-BA0045A,0.915806797
STA-BA0047A,0.50009447
STA-BA0048A,0.62641845
STA-BA0052A,0.45959
STA-BETB001,0.246278703
STA-BETB004,0.205025341
STA-BETB006,0.413607143
STA-BETN043,0.440442511
STA-BETN060,0.219799461
STA-BETN063,0.198866643
STA-BETN070,0.222278924
STA-BETN085,0.154155645
STA-BETN132,0.194291569
STA-BETR001,0.288733224
STA-BETR002,0.27781647
STA-BETR020,0.244446473
STA-BETR222,0.234392574
STA-BETR223,0.269803841
STA-BETR501,0.256980485
STA-BETR512,0.246342472
STA-BETR701,0.254487421
STA-BETR750,0.281815739
STA-BETR802,0.294363099
STA-BETWOL1,0.243821019
STA-BG0013A,0.284669341
STA-BG0018A,1.655337679
STA-BG0019A,2.117700316
STA-BG0041A,0.572353614
STA-BG0043A,0.355606079
STA-BG0044A,0.36960664
STA-BG0045A,0.423976295
STA-BG0050A,0.523702658
STA-BG0051A,0.415404868
STA-BG0055A,0.648834455
STA-BG0056A,0.363757632
STA-BG0070A,0.332410781
STA-BG0073A,0.674615769
STA-BG0075A,0.288992747
STA-BG0078A,0.74727363
STA-BG0079A,0.629314108
STA-BG0080A,0.584498748
STA-BG0083A,0.224604121
STA-CH0002R,0.196281089
STA-CH0005A,0.248047778
STA-CH0005R,0.167375172
STA-CH0010A,0.272145085
STA-CH0011A,0.304086139
STA-CH0013A,0.309447697
STA-CH0028A,0.307994178
STA-CH0031A,0.368819107
STA-CH0055A,0.215688887
STA-CY0002R,0.140018291
STA-CY0004A,0.460371834
STA-CY0006A,0.293245445
STA.CZ_ALEG,0.462220122
STA.CZ_ALIB,0.343626689
STA.CZ_BBNV,0.362448615
STA.CZ_CTAB,0.30893564
STA.CZ_HHKB,0.315713421
STA.CZ_JJIH,0.302058125
STA.CZ_JKOS,0.264704493
STA.CZ_PPLA,0.335387757
STA.CZ_SBER,0.435915855
STA.CZ_TOCB,0.618096262
STA.CZ_TSTD,0.299142072
STA.CZ_UULD,0.42380231
STA.CZ_ZUHR,0.343100127
STA.DE_DEBB032,0.273175396
STA.DE_DEBB045,0.388148018
STA.DE_DEBB054,0.359539421
STA.DE_DEBB086,0.271337335
STA.DE_DEBB099,0.304285714
STA.DE_DEBE061,0.370837523
STA.DE_DEBE065,0.357349384
STA.DE_DEBW080,0.325060318
STA.DE_DEBW098,0.313032736
STA.DE_DEBW099,0.303477967
STA.DE_DEBW122,0.316825294
STA.DE_DEBW125,0.341130634
STA.DE_DEBW147,0.378791983
STA.DE_DEBW152,0.438914405
STA.DE_DEBW156,0.322524837
STA.DE_DEBY001,0.317591301
STA.DE_DEBY006,0.302156566
STA.DE_DEBY012,0.310467658
STA.DE_DEBY014,0.289417388
STA.DE_DEBY021,0.295495129
STA.DE_DEBY028,0.321268524
STA.DE_DEBY035,0.290500624
STA.DE_DEBY037,0.342813325
STA.DE_DEBY039,0.208997034
STA.DE_DEBY063,0.335434399
STA.DE_DEBY088,0.323122225
STA.DE_DEBY099,0.283057176
STA.DE_DEBY110,0.407943994
STA.DE_DEBY111,0.360594778
STA.DE_DEBY115,0.467815208
STA.DE_DEBY119,0.294575103
STA.DE_DEBY120,0.381037594
STA.DE_DEHB001,0.29546135
STA.DE_DEHB005,0.173301842
STA.DE_DEHB006,0.375509105
STA.DE_DEHB012,0.214130722
STA.DE_DEHE001,0.294823057
STA.DE_DEHE018,0.300267201
STA.DE_DEHE037,0.422368825
STA.DE_DEHE040,0.400334748
STA.DE_DEHE041,0.358787778
STA.DE_DEHE042,0.180784469
STA.DE_DEHE049,0.421099999
STA.DE_DEHE059,0.424568601
STA.DE_DEHE061,0.433903975
STA.DE_DEHE062,0.348717869
STA.DE_DEHE063,0.307088291
STA.DE_DEHE116,0.323264431
STA.DE_DEHE131,0.559613895
STA.DE_DEHE135,0.234404711
STA.DE_DEHH033,0.302788973
STA.DE_DEHH068,0.472660529
STA.DE_DEHH070,0.459801555
STA.DE_DEMV004,0.193318772
STA.DE_DEMV022,0.295113793
STA.DE_DEMV023,0.255624569
STA.DE_DENI048,0.759752756
STA.DE_DENI067,0.803358822
STA.DE_DENI068,0.785533583
STA.DE_DENI070,0.704768522
STA.DE_DENI071,0.766285538
STA.DE_DENI075,0.789654148
STA.DE_DENI143,0.780548606
STA.DE_DENI157,0.744659024
STA.DE_DERP001,0.284803075
STA.DE_DERP003,0.300027327
STA.DE_DERP007,0.249650608
STA.DE_DERP009,0.301944169
STA.DE_DERP010,0.419119589
STA.DE_DERP011,0.368671644
STA.DE_DERP019,0.271439962
STA.DE_DERP020,0.318534291
STA.DE_DERP021,0.262585536
STA.DE_DERP022,0.267801084
STA.DE_DERP023,0.312275796
STA.DE_DERP024,0.236084327
STA.DE_DERP025,0.240250431
STA.DE_DERP041,0.322004545
STA.DE_DESL003,0.393887835
STA.DE_DESL017,0.345516883
STA.DE_DESL020,0.447067324
STA.DE_DEST011,0.258990215
STA.DE_DEST015,0.239156724
STA.DE_DEST075,0.254315333
STA.DE_DEST092,0.3374423
STA.DE_DEST103,0.336690255
STA.DE_DEST105,0.197496039
STA.DE_DEST108,0.271425231
STA.DE_DETH072,0.367359125
STA.DE_DEUB004,0.152941283
STA.DE_DEUB030,0.170154613
STA.DE_DEUB044,0.102697009
STA-DK0012R,0.21009659
STA-DK0034A,0.327047162
STA-DK0045A,0.191446814
STA-DK0051A,0.243242651
STA-DK0058A,0.223060746
STA-EE0009R,0.171455899
STA-EE0015A,0.211729992
STA-EE0018A,0.212045982
STA-EE0019A,0.19921422
STA-EE0020A,0.227780217
STA-EE0021A,0.268053036
STA-EE0022A,0.209585439
STA_ES1349A,0.229670749
STA_ES1489A,0.206132098
STA_ES1502A,0.210241983
STA_ES1492A,0.200202336
STA_ES1535A,0.267947482
STA_ES1623A,0.109819413
STA_ES1635A,0.159033197
STA_ES1968A,0.135628847
STA_ES1624A,0.145553407
STA_ES1849A,0.155714624
STA_ES1677A,0.124979114
STA_ES1913A,0.115277778
STA_ES2008A,0.127166065
STA_ES1393A,0.304314626
STA_ES2067A,0.389678809
STA_ES1835A,0.307418708
STA_ES1549A,0.359584488
STA_ES1601A,0.150454829
STA_ES1819A,0.204952359
STA_ES1820A,0.244721893
STA_ES1610A,0.450071105
STA_ES1438A,0.436772395
STA_ES1480A,0.422707728
STA_ES1856A,0.283388058
STA_ES1992A,0.304080285
STA_ES1851A,0.27518294
STA_ES1910A,0.229040039
STA_ES1135A,0.2
STA_ES1125A,0.290659341
STA_ES1816A,0.284389929
STA_ES0584A,0.326069664
STA_ES1778A,0.123263906
STA_ES1983A,0.265926366
STA_ES1684A,0.26374424
STA_ES1018A,0.383722031
STA_ES1903A,0.238134703
STA_ES1339A,0.237511871
STA_ES1160A,0.194027969
STA_ES1615A,0.20616301
STA_ES1997A,0.21146142
STA_ES1616A,0.217227436
STA_ES1664A,0.607529114
STA_ES1076A,0.268428656
STA_ES1479A,0.41796425
STA_ES1620A,0.719287427
STA_ES1781A,0.359850236
STA_ES1822A,0.316026811
STA_ES0556A,0.768358541
STA_ES0893A,0.418667568
STA_ES1074A,0.438888127
STA_ES1685A,0.126699279
STA_ES1877A,0.128294375
STA_ES1687A,0.114533072
STA_ES1688A,0.128653893
STA_ES1834A,0.139997569
STA_ES1689A,0.109482447
STA_ES1690A,0.116396396
STA_ES1969A,0.135437882
STA_ES1691A,0.109640854
STA_ES1799A,0.417211996
STA_ES2047A,0.672
STA_ES1971A,0.464206402
STA_ES1138A,0.218822099
STA_ES1957A,0.174928921
STA_ES1867A,0.155887786
STA_ES1557A,0.112204951
STA_ES0201A,0.317380647
STA_ES0094A,0.299699753
STA_ES1868A,0.171185065
STA_ES1901A,0.328008763
STA_ES1999A,0.323940934
STA_ES1973A,0.147464211
STA_ES1560A,0.506874825
STA_ES1370A,0.331119873
STA_ES1537A,0.315361918
STA_ES1499A,0.196415924
STA_ES1442A,0.249583478
STA_ES1494A,0.31201268
STA_ES1256A,0.773453625
STA_ES1328A,1.06299999
STA_ES1340A,0.484273612
STA_ES1658A,0.424648783
STA_ES1792A,0.708663088
STA_ES1253A,0.111826751
STA_ES1656A,0.29163632
STA_ES1824A,0.242335914
STA_ES1718A,0.498372009
STA_ES1161A,0.331752412
STA_ES1225A,0.238679805
STA_ES1982A,0.120771076
STA_ES1649A,0.419419956
STA_ES1779A,0.327796318
STA_ES1746A,0.277960176
STA_ES1602A,0.33361467
STA_ES1753A,0.332790725
STA_ES1905A,0.112916138
STA_ES1563A,0.47141213
STA_ES1802A,0.356228008
STA_ES1613A,0.406151183
STA_ES0115A,0.408822854
STA_ES0118A,0.375146098
STA_ES0124A,0.2
STA_ES0126A,0.6
STA_ES1193A,0.2
STA_ES1422A,0.477397179
STA_ES1426A,0.2
STA_ES1521A,0.3
STA_ES1943A,0.376265932
STA_ES1944A,0.2
STA_ES1568A,0.552347987
STA_ES1806A,0.251166589
STA_ES1810A,0.499431423
STA_ES1751A,0.159576295
STA_ES1750A,0.566
STA_ES1897A,0.442
STA_ES2030A,0.543
STA_ES1921A,0.306409781
STA_ES1633A,0.334843333
STA_ES1749A,0.379323221
STA_ES1662A,0.401502347
STA_ES2068A,0.476727358
STA_ES1472A,0.197368097
STA_ES1740A,0.423547437
STA_ES1661A,0.342265588
STA_ES2085A,0.101749332
STA_ES2014A,0.241585522
STA_ES1096A,0.167423693
STA_ES0880A,0.357749069
STA_ES1320A,0.470242794
STA_ES1424A,0.613139708
STA_ES2054A,0.500548436
STA_ES1432A,0.249438763
STA_ES1270A,0.506947574
STA_ES1271A,0.426414118
STA_ES1272A,0.292365068
STA_ES1358A,0.357452559
STA_ES2069A,0.351121614
STA_ES0825A,0.61713059
STA_ES1353A,0.415467975
STA_ES1268A,0.625239789
STA_ES1269A,0.366037931
STA_ES1572A,0.519497511
STA_ES2075A,0.479468454
STA_ES1433A,0.216474274
STA_ES2051A,0.62925101
STA_ES1922A,0.322139215
STA_ES1573A,0.253553501
STA_ES2084A,0.104343589
STA_ES2061A,0.208424214
STA_ES1137A,0.256120499
STA_ES2063A,0.143575285
STA_ES1618A,0.7
STA_ES2000A,0.417638691
STA_ES1576A,0.458356888
STA_ES1577A,0.376077661
STA_ES1529A,0.241244118
STA_ES1580A,0.406019786
STA_ES1038A,0.323645462
STA_ES1037A,0.421729972
STA_ES1967A,0.5
STA_ES1640A,0.39442113
STA_ES1653A,0.511899176
STA_ES0890A,0.37531895
STA_ES0817A,0.209870342
STA_ES1450A,0.330760025
STA_ES1425A,0.426469819
STA_ES1638A,0.460388842
STA_ES1644A,0.348
STA_ES1812A,0.245622659
STA_ES1930A,0.24702381
STA_ES1208A,0.230595238
STA_ES1666A,0.242896679
STA_ES1854A,0.217500294
STA_ES1911A,0.10185648
STA_ES1617A,0.133592139
STA_ES2018A,0.121919386
STA_ES1709A,0.121867749
STA_ES1886A,0.125763359
STA_ES1182A,0.151562319
STA_ES1711A,0.102691415
STA_ES1826A,0.109717159
STA_ES1185A,0.133965537
STA_ES1884A,0.124415281
STA_ES1917A,0.110483175
STA_ES1239A,0.14633778
STA_ES1912A,0.147557776
STA_ES1926A,0.149360756
STA_ES2019A,0.124380403
STA_ES1631A,0.425738141
STA_ES1712A,0.246320147
STA_ES1244A,0.269709201
STA_ES0110A,0.294080306
STA_ES1927A,0.479873689
STA_ES1418A,0.378040929
STA_ES1044A,0.235074401
STA_ES1047A,0.199153025
STA_ES1090A,0.189361197
STA_ES1641A,0.173937507
STA_ES1836A,0.210839416
STA_ES1837A,0.211480783
STA_ES2064A,0.209519499
STA-FI00356,0.141635656
STA-FR01064,0.302076216
STA-FR02043,0.27978654
STA-FR04012,0.485514494
STA-FR04018,0.207625925
STA-FR04058,0.411073552
STA-FR04143,0.298570538
STA-FR05089,0.323901395
STA-FR09404,0.139995037
STA-FR10034,0.273311581
STA-FR11034,0.192301995
STA-FR12045,0.189655491
STA-FR16034,0.293270504
STA-FR16069,0.259833448
STA-FR20069,0.313431535
STA-FR23140,0.262210763
STA-FR25053,0.277056648
STA-FR30019,0.195250293
STA-FR30026,0.264331996
STA-FR30036,0.268403658
STA-FR34028,0.216401476
STA-FR41059,0.526101085
Station_GB0580A,1.2632475
Station_GB0567A,1.141963249
Station_GB0584A,1.103828434
Station_GB0620A,1.0446265
Station_GB0682A,1.119246806
Station_GB0906A,0.781130096
GIB_Station_GB0050A,0.386720554
STA-GR0002A,0.535130111
STA-GR0008A,0.460053825
STA-GR0018A,0.7614205
STA-GR0020A,0.564993647
STA-GR0022A,0.4667684
STA-GR0029A,0.624078584
STA-GR0030A,0.75365925
STA-GR0031A,0.554877628
STA-GR0032A,1.213565561
STA-GR0046A,0.1
STA-GR0048A,0.566043792
HR_DOC_TYPE_D_STA_RH0101,0.594476772
HR_DOC_TYPE_D_STA_RH0108,0.159559719
HR_DOC_TYPE_D_STA_RH0104,0.329181192
HR_DOC_TYPE_D_STA_RH0106,0.462434593
STA-HU0022A,0.534299476
STA-HU0023A,0.454429839
STA-HU0024A,0.594890795
STA-HU0025A,0.498790475
STA-HU0026A,0.577551688
STA-HU0027A,0.611860578
STA-HU0028A,0.464513367
STA-HU0030A,0.633525586
STA-HU0031A,0.440162757
STA-HU0032A,0.33693697
STA-HU0033A,0.643304972
STA-HU0034A,0.425493178
STA-HU0035A,0.301561872
STA-HU0036A,0.314484932
STA-HU0037A,0.508795843
STA-HU0038A,0.610349492
STA-HU0039A,0.367116298
STA-HU0041A,0.653603372
STA-HU0042A,0.499817959
STA-HU0045A,0.792119583
STA-HU0057A,0.407415486
STA.IE.IE001BP,0.34140755
STA.IE.IE001CM,0.193182369
STA.IE.IE002CM,0.46851606
STA.IE.IE0098A,0.227302971
STA.IE.IE0105A,0.3
STA.IT0063A,0.198002696
STA.IT0187A,0.816928299
STA.IT0459A,0.549202845
STA.IT0460A,0.524445571
STA.IT0469A,0.659039301
STA.IT0470A,0.852464663
STA.IT0477A,0.977265358
STA.IT0480A,0.895865148
STA.IT0592A,0.89494495
STA.IT0706A,0.681078764
STA.IT0707A,0.700792871
STA.IT0721A,0.811625403
STA.IT0740A,0.669232154
STA.IT0755A,0.756490315
STA.IT0761A,0.909234565
STA.IT0771A,0.76982029
STA.IT0776A,0.737245217
STA.IT0777A,0.756424136
STA.IT0778A,0.742038237
STA.IT0813A,0.277028446
STA.IT0832A,0.40077304
STA.IT0839A,0.715386613
STA.IT0846A,0.79040157
STA.IT0852A,0.671348633
STA.IT0854A,0.585590257
STA.IT0861A,0.777079058
STA.IT0863A,0.408242351
STA.IT0867A,0.377136554
STA.IT0871A,0.398315968
STA.IT0885A,0.286605269
STA.IT0888A,0.38088076
STA.IT0895A,0.795757864
STA.IT0898A,0.863266567
STA.IT0906A,0.787323418
STA.IT0908A,0.704195881
STA.IT0945A,0.434741045
STA.IT0953A,0.375669301
STA.IT0983A,0.836580455
STA.IT0991A,0.530142757
STA.IT0997A,0.707822477
STA.IT1011A,0.677720422
STA.IT1016A,0.933923079
STA.IT1026A,0.75413768
STA.IT1029A,0.740664079
STA.IT1044A,0.816518091
STA.IT1090A,0.494503862
STA.IT1104A,0.901714807
STA.IT1105A,0.861707989
STA.IT1145A,0.709235481
STA.IT1153A,0.671146851
STA.IT1159A,0.846662609
STA.IT1180A,0.545409813
STA.IT1190A,0.767623312
STA.IT1192A,0.979843676
STA.IT1193A,0.304861074
STA.IT1200A,0.614042326
STA.IT1215A,0.460734694
STA.IT1243A,0.340490993
STA.IT1251A,0.873898081
STA.IT1264A,0.470110731
STA.IT1269A,0.255213934
STA.IT1273A,0.153804635
STA.IT1286A,0.765804013
STA.IT1290A,0.846916264
STA.IT1309A,0.248519478
STA.IT1334A,0.367085044
STA.IT1336A,0.315919667
STA.IT1361A,0.739737428
STA.IT1377A,0.260069362
STA.IT1397A,0.309732126
STA.IT1409A,0.452273554
STA.IT1420A,0.333071918
STA.IT1423A,0.254825342
STA.IT1427A,0.225463456
STA.IT1428A,0.333895115
STA.IT1456A,0.36728216
STA.IT1459A,0.797069932
STA.IT1475A,0.325110731
STA.IT1487A,0.68070631
STA.IT1491A,0.921760272
STA.IT1493A,0.631801866
STA.IT1497A,0.52943809
STA.IT1504A,0.543351749
STA.IT1549A,0.229467928
STA.IT1552A,0.479804406
STA.IT1560A,0.4395816
STA.IT1576A,0.168952061
STA.IT1578A,0.529377838
STA.IT1583A,0.252280767
STA.IT1585A,0.287366426
STA.IT1588A,0.729102093
STA.IT1598A,0.34343887
STA.IT1606A,0.320812508
STA.IT1611A,0.47234852
STA.IT1618A,0.522214524
STA.IT1621A,0.41761176
STA.IT1658A,0.290018402
STA.IT1660A,0.498141038
STA.IT1674A,0.374796565
STA.IT1676A,0.506574234
STA.IT1698A,0.96396217
STA.IT1704A,0.242323244
STA.IT1718A,0.821835605
STA.IT1735A,0.700650212
STA.IT1740A,0.442700801
STA.IT1741A,0.254484523
STA.IT1742A,0.376160512
STA.IT1744A,0.197589769
STA.IT1745A,0.521342539
STA.IT1746A,0.766733218
STA.IT1753A,0.574825604
STA.IT1766A,0.336021975
STA.IT1773A,0.35778361
STA.IT1792A,0.839251378
STA.IT1795A,0.416019941
STA.IT1799A,0.155491732
STA.IT1800A,1.160863712
STA.IT1802A,0.226521635
STA.IT1804A,1.543805024
STA.IT1817A,0.473463694
STA.IT1827A,0.470236067
STA.IT1829A,0.411537755
STA.IT1837A,0.70011636
STA.IT1838A,0.436793229
STA.IT1847A,0.392726836
STA.IT1848A,0.261086397
STA.IT1850A,0.811036269
STA.IT1857A,1.243461184
STA.IT1859A,0.573733777
STA.IT1860A,0.537006859
STA.IT1862A,0.442972614
STA.IT1869A,0.819276102
STA.IT1871A,0.463929619
STA.IT1880A,0.383980517
STA.IT1886A,0.433300627
STA.IT1887A,0.728821674
STA.IT1888A,0.343655584
STA.IT1889A,0.215484859
STA.IT1890A,0.101766615
STA.IT1895A,0.380761553
STA.IT1897A,0.5395
STA.IT1898A,0.20630274
STA.IT1900A,0.353522051
STA.IT1901A,0.314871611
STA.IT1905A,0.415665349
STA.IT1920A,0.81029661
STA.IT1923A,0.79687368
STA.IT1932A,0.345375141
STA.IT1938A,0.635814291
STA.IT1940A,0.534610639
STA.IT1953A,0.386270784
STA.IT1977A,0.367736301
STA.IT1993A,0.282091323
STA.IT1997A,0.252500728
STA.IT2004A,0.501602434
STA.IT2005A,0.289175355
STA.IT2008A,0.338795298
STA.IT2009A,0.228342559
STA.IT2010A,0.196551397
STA.IT2011A,0.137244357
STA.IT2013A,0.422204195
STA.IT2019A,0.493558472
STA.IT2028A,0.42942932
STA.IT2031A,0.565520078
STA.IT2038A,0.287677227
STA.IT2039A,1.065335679
STA.IT2044A,0.368781471
STA.IT2055A,0.194274302
STA.IT2056A,0.312916316
STA.IT2059A,0.220745764
STA.IT2061A,0.475290323
STA.IT2071A,0.38704215
STA.IT2072A,0.372187581
STA.IT2078A,0.529812986
STA.IT2087A,0.7576865
STA.IT2089A,0.488153846
STA.IT2093A,0.885005943
STA.IT2094A,0.152987457
STA.IT2110A,0.465696352
STA.IT2116A,0.436033914
STA.IT2118A,0.367378985
STA.IT2121A,0.434751204
STA.IT2134A,0.504078981
STA.IT2139A,0.29894261
STA.IT2144A,0.490016884
STA.IT2145A,0.491643289
STA.IT2146A,0.988153515
STA.IT2148A,0.402516723
STA.IT2152A,0.685295727
STA.IT2156A,0.858948726
STA.IT2161A,0.444791096
STA.IT2165A,0.341441781
STA.IT2169A,0.5464102
STA.IT2170A,0.269393365
STA.IT2171A,0.373070684
STA.IT2174A,0.343684147
STA.IT2177A,0.555869278
STA.IT2184A,0.432528666
STA.IT2202A,0.434459282
STA.IT2203A,0.217140349
STA.IT2204A,0.350547226
STA.IT2205A,0.350454869
STA.IT2210A,0.912268423
STA.IT2211A,0.558485869
STA.IT2213A,0.695263418
STA.IT2214A,0.715191005
STA.IT2218A,0.401909212
STA.IT2219A,0.850596383
STA.IT2221A,0.876177546
STA.IT2222A,0.518973486
STA.IT2223A,0.826602904
STA.IT2224A,0.557648099
STA.IT2226A,0.658377198
STA.IT2227A,0.743906488
STA.IT2229A,0.281721798
STA.IT2231A,0.347624633
STA.IT2245A,0.364712389
STA.IT2250A,0.464465786
STA.IT2261A,0.486915406
STA.IT2269A,0.481268965
STA.IT2271A,0.468460812
STA.IT2273A,0.538436441
STA.IT2274A,0.210556223
STA.IT2277A,0.476110688
STA.IT2278A,0.470957872
STA.IT2289A,0.506483266
STA.IT2290A,0.247819461
STA.IT2291A,0.288375471
STA-LT00001,0.491267876
STA-LT00003,0.57218811
STA-LT00004,0.399894115
STA-LT00012,0.320061513
STA-LT00022,0.350751841
STA-LT00031,0.285074645
STA-LT00033,0.288249042
STA-LT00041,0.33260129
STA-LT00044,0.263051727
STA-LU0101A,0.262611118
STA-LU0102A,0.25238531
STA-LU0109A,0.250370717
STA-LV000L1,0.262047137
STA-ME0002A,0.454281571
STA-ME0008A,0.416309904
STA-ME0009A,0.667842999
STA-MK0030A,0.471307602
STA-MK0031A,1.041704888
STA-MK0034A,0.565293995
STA-MK0035A,0.54763934
STA-MK0036A,0.721467234
STA-MK0037A,0.369172513
STA-MK0038A,0.67656806
STA-MK0040A,0.598069127
STA-MK0041A,0.625670715
STA-MK0043A,0.801294501
STA-MK0044A,0.631415401
STA-MK0045A,0.397824506
STA-MT00005,0.392420678
STA-MT00007,0.165712223
STA-NL00007,0.355971001
STA-NL00012,0.381178772
STA-NL00014,0.301985033
STA-NL00551,0.358757297
STA-NL00553,0.295384467
STA-NL00561,0.276953496
STA-NL00644,0.229135675
STA-NL00741,0.363835063
STA-NL00742,0.270240318
STA_NO0011A,0.296658636
STA_PL0012A,0.826122871
STA_PL0014A,0.271930382
STA_PL0031A,0.241639119
STA_PL0039A,0.559190565
STA_PL0045A,0.338086111
STA_PL0047A,0.369730154
STA_PL0048A,0.374105016
STA_PL0049A,0.373382396
STA_PL0050A,0.346755962
STA_PL0052A,0.390401528
STA_PL0064A,0.446734822
STA_PL0072A,0.354821396
STA_PL0077A,0.299477295
STA_PL0096A,0.403091245
STA_PL0115A,0.496604884
STA_PL0126A,0.521879942
STA_PL0136A,0.369821417
STA_PL0138A,0.424504584
STA_PL0140A,0.593068879
STA_PL0148A,0.388924332
STA_PL0171A,0.46537972
STA_PL0175A,0.33931631
STA_PL0184A,0.392254041
STA_PL0190A,0.455226822
STA_PL0192A,0.395595345
STA_PL0194A,0.395189656
STA_PL0197A,0.651686354
STA_PL0198A,0.37039778
STA_PL0205A,0.519821569
STA_PL0209A,0.327604214
STA_PL0212A,0.418250356
STA_PL0213A,0.320783368
STA_PL0218A,0.34936645
STA_PL0236A,0.427243814
STA_PL0237A,0.479347805
STA_PL0239A,0.50254808
STA_PL0241A,0.497118273
STA_PL0242A,0.481717795
STA_PL0244A,0.499298916
STA_PL0245A,0.451526747
STA_PL0249A,0.356001166
STA_PL0252A,0.503028745
STA_PL0276A,0.265023267
